id 	 Energy 	 RxCoord
87 	 -0.05118 	 11.29152
88 	 -0.05126 	 11.42282
89 	 -0.05134 	 11.55411
90 	 -0.05142 	 11.68540
91 	 -0.05149 	 11.81670
92 	 -0.05156 	 11.94799
93 	 -0.05163 	 12.07928
94 	 -0.05169 	 12.21057
95 	 -0.05175 	 12.34185
96 	 -0.05181 	 12.47314
97 	 -0.05187 	 12.60443
98 	 -0.05192 	 12.73571
99 	 -0.05198 	 12.86700
100 	 -0.05203 	 12.99829
101 	 -0.05208 	 13.12958
102 	 -0.05214 	 13.26087
103 	 -0.05219 	 13.39216
104 	 -0.05224 	 13.52345
105 	 -0.05228 	 13.65474
106 	 -0.05233 	 13.78604
107 	 -0.05238 	 13.91733
108 	 -0.05242 	 14.04863
109 	 -0.05247 	 14.17992
110 	 -0.05252 	 14.31122
111 	 -0.05256 	 14.44252
112 	 -0.05260 	 14.57381
113 	 -0.05265 	 14.70511
114 	 -0.05269 	 14.83640
115 	 -0.05273 	 14.96770
116 	 -0.05277 	 15.09899
117 	 -0.05281 	 15.23029
118 	 -0.05285 	 15.36159
119 	 -0.05289 	 15.49288
120 	 -0.05293 	 15.62418
121 	 -0.05297 	 15.75548
122 	 -0.05300 	 15.88678
123 	 -0.05304 	 16.01807
124 	 -0.05308 	 16.14937
125 	 -0.05312 	 16.28067
126 	 -0.05315 	 16.41197
127 	 -0.05319 	 16.54326
128 	 -0.05323 	 16.67456
129 	 -0.05326 	 16.80586
130 	 -0.05330 	 16.93716
131 	 -0.05333 	 17.06845
132 	 -0.05337 	 17.19975
133 	 -0.05340 	 17.33105
134 	 -0.05344 	 17.46234
135 	 -0.05347 	 17.59364
136 	 -0.05351 	 17.72494
137 	 -0.05354 	 17.85624
138 	 -0.05358 	 17.98753
139 	 -0.05361 	 18.11883
140 	 -0.05364 	 18.25013
141 	 -0.05367 	 18.38143
142 	 -0.05371 	 18.51273
143 	 -0.05374 	 18.64403
144 	 -0.05377 	 18.77533
145 	 -0.05380 	 18.90663
146 	 -0.05384 	 19.03793
147 	 -0.05387 	 19.16923
148 	 -0.05390 	 19.30053
149 	 -0.05393 	 19.43183
150 	 -0.05397 	 19.56313
151 	 -0.05400 	 19.69443
152 	 -0.05403 	 19.82573
153 	 -0.05406 	 19.95703
154 	 -0.05409 	 20.08833
155 	 -0.05412 	 20.21963
156 	 -0.05416 	 20.35093
157 	 -0.05419 	 20.48223
158 	 -0.05422 	 20.61353
159 	 -0.05425 	 20.74483
160 	 -0.05428 	 20.87613
161 	 -0.05431 	 21.00743
162 	 -0.05434 	 21.13873
163 	 -0.05437 	 21.27003
164 	 -0.05440 	 21.40133
165 	 -0.05443 	 21.53263
166 	 -0.05446 	 21.66393
167 	 -0.05449 	 21.79523
168 	 -0.05452 	 21.92653
169 	 -0.05455 	 22.05783
170 	 -0.05458 	 22.18913
171 	 -0.05461 	 22.32043
172 	 -0.05464 	 22.45173
173 	 -0.05467 	 22.58303
174 	 -0.05470 	 22.71433
175 	 -0.05473 	 22.84563
176 	 -0.05475 	 22.97693
177 	 -0.05478 	 23.10824
178 	 -0.05481 	 23.23954
179 	 -0.05484 	 23.37084
180 	 -0.05486 	 23.50213
181 	 -0.05489 	 23.63343
182 	 -0.05492 	 23.76473
183 	 -0.05494 	 23.89603
184 	 -0.05497 	 24.02733
185 	 -0.05499 	 24.15863
186 	 -0.05502 	 24.28993
187 	 -0.05504 	 24.42123
188 	 -0.05506 	 24.55253
189 	 -0.05508 	 24.68383
190 	 -0.05511 	 24.81513
191 	 -0.05513 	 24.94643
192 	 -0.05515 	 25.07773
193 	 -0.05517 	 25.20903
194 	 -0.05519 	 25.34033
195 	 -0.05521 	 25.47162
196 	 -0.05523 	 25.60292
197 	 -0.05525 	 25.73422
